Time_ms,Accel_X_G,Accel_Y_G,Accel_Z_G
3590,0.0346,0.0956,1.0834
3600,-0.0215,0.0028,0.9893
3610,-0.0447,0.0611,1.0391
3620,0.0898,0.0796,1.0066
3630,-0.0992,0.0239,0.9024
3640,-0.0571,-0.0306,1.0560
3650,0.0212,0.0478,0.9924
3660,0.0628,0.0328,1.0600
3670,0.0524,0.0480,0.9803
3680,-0.0031,-0.0829,0.9277
3690,-0.0460,0.0469,1.0565
3700,-0.0699,0.0262,0.9246
3710,-0.0037,-0.0297,1.0083
3720,0.0206,0.0325,1.0215
3730,-0.0286,0.0258,1.0606
3740,0.0488,-0.0771,1.0243
3750,0.0335,-0.0511,1.0992
3760,0.0990,-0.0792,0.9785
3770,0.0816,0.0646,0.9329
3780,-0.0325,-0.0678,0.9160
3790,-0.0223,0.0903,0.9199
3800,-0.0722,-0.0509,1.0702
3810,0.0955,-0.0089,0.9129
3820,-0.0858,-0.0982,0.9211
3830,-0.0043,0.0169,1.0729
3840,-0.0272,-0.0081,1.0063
3850,0.0705,-0.0407,0.9544
3860,-0.0835,0.0256,0.9205
3870,0.0046,0.0349,0.9479
3880,-0.0437,-0.0118,1.0300
3890,0.0285,-0.0581,0.9282
3900,0.0719,-0.0714,0.9348
3910,0.0574,-0.0119,0.9301
3920,0.0648,0.0865,1.0829
3930,0.0257,-0.0014,0.9229
3940,0.0098,-0.0668,1.0919
3950,-0.0649,-0.0933,0.9101
3960,-0.0019,-0.0865,0.9290
3970,-0.0533,-0.0869,0.9408
3980,0.0252,-0.0184,1.0707
3990,0.0426,-0.0905,0.9083
4000,-0.0882,-0.0452,0.9779
4010,0.0658,-0.0500,1.0345
4020,-0.0579,-0.0068,0.9511
4030,0.0454,-0.0921,1.0141
4040,0.0859,-0.0593,1.0013
4050,0.0472,0.0973,0.9919
4060,-0.0533,0.0660,0.9617
4070,-0.0349,-0.0457,1.0737
4080,0.0336,-0.0146,0.9553
4090,0.0695,-0.0972,1.0829
4100,-0.0460,0.0152,0.9330
4110,-0.0606,0.0587,0.9673
4120,-0.0924,0.0505,1.0363
4130,0.0323,-0.0553,1.0931
4140,0.0150,-0.0371,0.9193
4150,0.0432,-0.0298,0.9139
4160,0.0434,-0.0923,1.0265
4170,0.0206,-0.0461,1.0260
4180,-0.0151,0.0895,1.0836
4190,0.0956,-0.0484,1.0361
4200,0.0379,0.0706,1.0397
4210,-0.0651,-0.0230,0.9092
4220,0.0230,-0.0425,1.0317
4230,-0.0541,-0.0663,0.9717
4240,-0.0409,0.0238,0.9595
4250,-0.0874,-0.0434,1.0903
4260,0.0327,0.0579,1.0973
4270,-0.0007,0.0916,1.0393
4280,-0.0789,-0.0745,1.0011
4290,0.0032,-0.0276,0.9322
4300,-0.0914,-0.0270,0.9188
4310,-0.0085,-0.0806,1.0086
4320,-0.0319,-0.0760,1.0360
4330,0.0602,-0.0045,1.0978
4340,-0.0334,0.0831,0.9549
4350,0.0379,0.0578,0.9107
4360,0.0355,-0.0449,1.0919
4370,0.0744,-0.0685,1.0046
4380,0.0251,-0.0097,1.0867
4390,-0.0234,-0.0399,0.9914
4400,-0.0632,0.0340,0.9248
4410,0.0484,-0.0236,0.9885
4420,0.0206,-0.0498,0.9739
4430,0.0007,0.0593,1.0652
4440,0.0516,0.0030,1.0116
4450,-0.0711,-0.0166,1.0301
4460,0.0378,0.0426,1.0482
4470,0.0567,-0.0571,1.0572
4480,0.0196,-0.0634,0.9120
4490,-0.0323,0.0756,1.0737
4500,0.0966,-0.0426,0.9267
4510,-0.0415,0.0088,1.0143
4520,0.0032,-0.0350,1.0009
4530,0.0964,-0.0661,0.9519
4540,-0.0656,0.0174,1.0769
4550,0.0233,-0.0585,1.0004
4560,-0.0235,0.0194,0.9264
4570,0.0555,0.0702,1.0098
4580,0.0792,-0.0829,0.9258
4590,-0.0330,0.0230,1.0182
4600,0.0210,-0.0121,0.9602
4610,0.0104,-0.0604,1.0997
4620,0.0919,-0.0013,1.0034
4630,0.0331,-0.0330,1.0180
4640,0.0765,-0.0346,0.9869
4650,-0.0998,0.0019,0.9993
4660,0.0005,0.0798,1.0923
4670,-0.0436,-0.0593,0.9136
4680,-0.0459,0.0673,0.9467
4690,-0.0567,-0.0511,1.0315
4700,0.0065,-0.0521,1.0275
4710,0.0493,0.0160,0.9290
4720,-0.0846,-0.0628,1.0868
4730,-0.0559,-0.0377,0.9179
4740,0.0683,0.0306,0.9581
4750,0.0447,-0.0749,1.0217
4760,-0.0596,-0.0485,1.0184
4770,0.0201,0.0141,0.9520
4780,0.0786,0.0133,1.0954
4790,-0.0702,-0.0813,0.9728
4800,0.0018,-0.0802,1.0715
4810,-0.0331,-0.0585,1.0508
4820,0.0324,0.0419,1.0290
4830,0.0360,0.0893,0.9054
4840,-0.0785,-0.0406,0.9969
4850,0.0178,-0.0982,0.9780
4860,-0.0668,0.0702,1.0595
4870,-0.0752,-0.0571,0.9365
4880,0.0374,0.0893,0.9370
4890,-0.0399,0.0821,1.0513
4900,-0.0222,-0.0226,1.0912
4910,0.0667,0.0796,0.9199
4920,-0.0702,0.0650,0.9611
4930,0.0775,-0.0093,1.0738
4940,-0.0106,0.0866,0.9445
4950,-0.0977,-0.0829,1.0453
4960,-0.0467,-0.0025,0.9778
4970,-0.0169,0.0749,0.9134
4980,-0.0415,-0.0741,1.0082
4990,-0.0855,-0.0171,0.9260
