Time_ms,Accel_X_G,Accel_Y_G,Accel_Z_G
2670,0.0644,0.0293,0.9226
2680,-0.0737,-0.0344,0.9118
2690,-0.0484,-0.0071,0.9106
2700,-0.0524,-0.0901,0.9549
2710,-0.0377,-0.0303,1.0714
2720,-0.0061,0.0204,0.9649
2730,0.0793,-0.0813,0.9056
2740,-0.0361,0.0972,1.0192
2750,-0.0175,0.0677,1.0118
2760,0.0899,-0.0122,1.0384
2770,0.0592,-0.0181,0.9454
2780,0.0650,0.0683,0.9003
2790,0.0090,0.0547,1.0012
2800,0.0069,-0.0611,1.0417
2810,0.0941,-0.0996,0.9423
2820,-0.0223,-0.0586,0.9113
2830,-0.0262,-0.0568,1.0774
2840,-0.0103,0.0548,1.0365
2850,-0.0278,0.0382,1.0508
2860,-0.0724,0.0547,1.0184
2870,-0.0517,0.0044,0.9172
2880,-0.0479,-0.0519,0.9676
2890,0.0545,0.0499,1.0394
2900,-0.0318,0.0367,1.0218
2910,0.0839,0.0207,1.0802
2920,0.0622,-0.0586,0.9077
2930,-0.0996,-0.0938,1.0190
2940,0.0362,-0.0545,0.9728
2950,0.0675,0.0626,1.0919
2960,-0.0831,-0.0371,1.0769
2970,0.0841,-0.0452,0.9364
2980,-0.0705,0.0379,0.9859
2990,0.0004,0.0026,1.0699
3000,-0.0934,-0.0739,1.0624
3010,-0.0458,-0.0425,1.0718
3020,0.0548,0.0708,1.0521
3030,0.0361,0.0640,1.0061
3040,0.0211,-0.0231,1.0965
3050,-0.0861,-0.0663,0.9083
3060,-0.0253,-0.0512,1.0759
3070,-0.0585,0.0109,1.0125
3080,-0.0348,-0.0823,1.0365
3090,0.0166,0.0471,0.9681
3100,-0.0979,0.0608,0.9014
3110,0.0876,-0.0190,1.0344
3120,0.0912,-0.0750,1.0971
3130,-0.0674,-0.0832,1.0579
3140,-0.0575,-0.0133,0.9992
3150,-0.0475,0.0087,1.0998
3160,0.0226,0.0084,1.0592
3170,-0.0739,0.0148,1.0594
3180,-0.0340,-0.0702,0.9160
3190,0.0542,-0.0326,0.9885
3200,0.0007,-0.0724,0.9219
3210,-0.0133,-0.0853,0.9481
3220,-0.0273,0.0699,1.0074
3230,-0.0553,-0.0203,1.0815
3240,-0.0092,-0.0093,1.0345
3250,0.0117,0.0956,1.0883
3260,0.0385,0.0235,0.9437
3270,-0.0527,0.0589,0.9109
3280,0.0616,0.0763,1.0084
3290,0.0803,-0.0824,1.0881
3300,0.0938,-0.0248,0.9517
3310,0.0112,0.0666,0.9778
3320,0.0595,0.0413,0.9004
3330,0.0325,-0.0963,1.0352
3340,0.0905,0.0706,1.0738
3350,-0.0241,-0.0658,0.9403
3360,-0.0840,0.0790,1.0526
3370,0.0901,-0.0639,0.9330
3380,0.0279,-0.0694,1.0197
3390,-0.0888,0.0797,0.9802
3400,0.0518,0.0348,1.0581
3410,0.0865,0.0667,1.0014
3420,0.0318,-0.0511,1.0851
3430,0.0018,-0.0842,0.9509
3440,-0.0702,0.0816,0.9202
3450,-0.0216,-0.0098,0.9851
3460,-0.0754,0.0655,1.0244
3470,0.0669,0.0328,1.0157
3480,0.0594,-0.0015,1.0651
3490,0.0121,-0.0156,0.9567
3500,-0.0859,-0.0208,1.0497
3510,-0.0501,0.0817,1.0802
3520,0.0665,-0.0783,1.0507
3530,0.0599,0.0770,1.0199
3540,-0.0881,-0.0892,1.0454
3550,0.0246,-0.0723,1.0541
3560,-0.0798,-0.0573,0.9609
3570,0.0685,0.0698,0.9023
3580,-0.0758,0.0251,1.0054
3590,0.0666,-0.0429,0.9050
3600,-0.0293,0.0803,1.0137
3610,-0.0734,-0.0584,0.9732
3620,0.0150,-0.0618,0.9426
3630,0.0159,0.0590,1.0961
3640,-0.0064,-0.0958,1.0475
3650,0.0066,0.0806,1.0183
3660,-0.0138,-0.0322,0.9162
3670,-0.0552,0.0342,0.9181
3680,0.0559,0.0270,0.9269
3690,-0.0399,-0.0531,1.0307
3700,0.0608,-0.0478,0.9641
3710,0.0514,0.0980,0.9457
3720,-0.0183,0.0455,0.9871
3730,-0.0278,-0.0307,0.9243
3740,0.0502,0.0825,1.0628
3750,0.0553,0.0959,0.9109
3760,-0.0440,0.0866,0.9105
3770,-0.0189,0.0582,1.0426
3780,-0.0203,0.0501,1.0006
3790,-0.0147,-0.0241,0.9891
3800,-0.0219,-0.0692,0.9290
3810,-0.0923,-0.0482,0.9773
3820,-0.0472,-0.0677,0.9185
3830,-0.0396,0.0652,1.0576
3840,-0.0782,0.0109,0.9782
3850,0.0449,-0.0812,1.0944
3860,0.0415,-0.0849,1.0778
3870,0.0334,-0.0406,1.0786
3880,-0.0489,-0.0045,1.0115
3890,-0.0398,0.0375,0.9738
3900,-0.0692,0.0115,0.9359
3910,-0.0052,-0.0437,0.9980
3920,0.0260,0.0181,0.9066
3930,0.0215,0.0670,1.0467
3940,-0.0569,-0.0820,0.9179
3950,-0.0876,0.0819,0.9322
3960,-0.0303,-0.0274,0.9879
3970,0.0126,-0.0311,0.9996
3980,-0.0434,-0.0983,0.9802
3990,0.0426,0.0249,0.9125
4000,-0.0199,0.0329,0.9441
4010,-0.0236,0.0199,1.0554
4020,0.0901,-0.0336,0.9027
4030,0.0736,-0.0879,1.0785
4040,-0.0586,-0.0889,0.9817
4050,0.0500,0.0503,1.0821
4060,-0.0739,0.0756,0.9977
4070,-0.0595,0.0836,0.9911
4080,-0.0817,0.0459,0.9828
4090,0.0472,0.0714,0.9123
4100,-0.0248,-0.0195,1.0770
4110,-0.0698,0.0117,1.0192
4120,0.0428,-0.0070,0.9799
4130,-0.0416,-0.0160,1.0918
4140,0.0497,-0.0401,1.0763
4150,0.0576,-0.0691,1.0159
4160,0.0915,-0.0825,0.9909
4170,0.0369,-0.0157,0.9869
4180,0.0612,0.0404,1.0216
4190,-0.0568,-0.0859,0.9261
4200,0.0228,-0.0894,0.9173
4210,-0.0726,0.0549,1.0560
4220,-0.0241,0.0183,0.9706
4230,0.0850,0.0672,1.0746
4240,-0.0327,0.0324,1.0461
4250,-0.0610,0.0838,0.9597
4260,0.0311,-0.0855,1.0445
4270,-0.0206,-0.1000,0.9008
4280,0.0557,0.0185,0.9168
4290,0.0442,-0.0057,1.0386
4300,-0.0655,0.0517,0.9139
4310,-0.0747,0.0278,0.9843
4320,0.0202,0.0186,0.9471
4330,0.0483,0.0307,1.0938
4340,0.0917,-0.0103,1.0237
4350,-0.0903,-0.0446,0.9165
4360,-0.0408,-0.0022,1.0953
4370,0.0430,-0.0349,1.0019
4380,-0.0073,0.0760,1.0647
4390,0.0493,-0.0578,1.0160
4400,0.0612,-0.0751,1.0591
4410,-0.0301,0.0152,0.9824
4420,-0.0384,-0.0942,1.0789
4430,-0.0279,0.0939,0.9181
4440,-0.0261,-0.0727,0.9316
4450,-0.0194,-0.0481,1.0607
4460,-0.0935,-0.0713,1.0208
4470,0.0118,0.0440,1.0170
4480,-0.0122,-0.0426,0.9261
4490,-0.0990,0.0685,1.0986
4500,-0.0740,-0.0777,0.9945
4510,0.0717,-0.0852,1.0294
4520,0.0031,-0.0726,0.9689
4530,0.0131,-0.0084,0.9540
4540,-0.0454,-0.0848,0.9043
4550,0.0357,0.0075,0.9363
4560,0.0500,0.0441,1.0061
4570,-0.0034,0.0491,0.9722
4580,-0.0380,-0.0811,0.9617
4590,-0.0543,0.0824,0.9036
4600,0.0974,-0.0994,1.0227
4610,0.0750,-0.0777,0.9464
4620,0.0741,-0.0925,1.0253
4630,-0.0774,0.0132,1.0107
4640,0.0673,-0.0258,0.9595
4650,0.0416,-0.0403,1.0550
4660,-0.0139,0.0751,1.0058
4670,-0.0055,0.0861,1.0422
4680,-0.0820,-0.0965,1.0898
4690,-0.0987,-0.0074,0.9837
4700,-0.0902,0.0520,1.0120
4710,0.0504,0.0728,0.9282
4720,0.0499,0.0933,1.0986
4730,-0.0846,-0.0223,0.9690
4740,0.0546,-0.0241,0.9229
4750,0.0101,0.0103,0.9233
4760,0.0169,0.0675,0.9110
4770,0.0465,-0.0950,0.9846
4780,0.0279,0.0256,1.0215
4790,0.0921,0.0730,0.9904
4800,0.0711,-0.0651,1.0865
4810,0.0992,-0.0766,1.0274
4820,0.0487,0.0815,0.9991
4830,0.0380,0.0318,0.9319
4840,0.0307,0.0075,1.0749
4850,-0.0834,0.0272,0.9587
4860,0.0111,0.0734,0.9823
4870,0.0658,0.0563,1.0394
4880,0.0656,0.0744,1.0504
4890,-0.0526,0.0657,0.9729
4900,0.0683,-0.0140,1.0813
4910,-0.0397,0.0050,1.0074
4920,-0.0974,0.0414,1.0878
4930,-0.0037,-0.0037,1.0047
4940,-0.0549,0.0369,1.0527
4950,0.0592,0.0696,1.0194
4960,0.0643,-0.0147,1.0908
4970,-0.0741,0.0107,0.9319
4980,-0.0610,0.0653,0.9771
4990,0.0323,-0.0576,1.0039
